,_fivetran_id,follower_counts_organic_follower_count,follower_counts_paid_follower_count,_organization_entity_urn,country_id,_fivetran_synced
0,Ww+m+xboc5GreZkzVp9xoqu6drU=,1,0,urn:li:organization:69569872,ne,2022-08-08 10:42:06.097000+00:00
1,hrfDyLFvjuWdry5z2XJtxNsB3bE=,12,0,urn:li:organization:11841037,gb,2022-08-08 10:42:19.051000+00:00
2,gbjMf4pqZv1+7N76/P5I8+AcF0Q=,5,0,urn:li:organizationBrand:69569872,tn,2022-08-08 10:42:37.938000+00:00
3,JYH/d5WD4OXKCdxRseuuveeA+wc=,1,0,urn:li:organization:69569872,se,2022-08-08 10:42:06.095000+00:00
4,nkR4ZpfOvrmEygvFzTypj/uAr3M=,1,0,urn:li:organization:11841037,ht,2022-08-08 10:42:19.074000+00:00
5,+2ZNiuiACECviYm/cidiEOQe9OI=,2,0,urn:li:organization:11841037,ne,2022-08-08 10:42:19.068000+00:00
6,qpXSlD3a5LBSafxEB75yJoUjDzA=,1,0,urn:li:organization:78306774,in,2022-08-08 10:42:26.195000+00:00
7,nvKm7UbN566IbZslxL2FGfoFtBI=,1,0,urn:li:organizationBrand:69569872,ch,2022-08-08 10:42:37.942000+00:00
8,BwRElv67Z5nkOYKOf4R9GuFTb3g=,6,0,urn:li:organization:11841037,bj,2022-08-08 10:42:19.056000+00:00
9,BtZooEG91ifT6bfPItFvLVh9aI8=,1,0,urn:li:organization:69569872,cg,2022-08-08 10:42:06.090000+00:00
10,wdmr0ObHvPY51Nc6XM5oY3ADKaI=,1,0,urn:li:organization:11841037,rs,2022-08-08 10:42:19.079000+00:00
11,tzNvnDxyBAS3Nh64K5orqIieVRs=,1,0,urn:li:organization:11841037,pt,2022-08-08 10:42:19.071000+00:00
12,cgCCfOahm+K/aXLTvfESrwW/UcM=,1,0,urn:li:organizationBrand:69569872,mr,2022-08-08 10:42:37.941000+00:00
13,m4Oa3KYmRe54FR82NhLkIfMZN+E=,1,0,urn:li:organizationBrand:69569872,br,2022-08-08 10:42:37.942000+00:00
14,Fx+fG++d86cndEUPrHkNQMJBoHs=,9,0,urn:li:organization:11841037,ml,2022-08-08 10:42:19.053000+00:00
15,oOdRQSmt0SAsHEQdUTP8jKWC+AM=,1,0,urn:li:organization:11841037,ph,2022-08-08 10:42:19.085000+00:00
16,yVDjUdhrJLj/Z3vSQVU/w7iWV2k=,9,0,urn:li:organization:11841037,bf,2022-08-08 10:42:19.054000+00:00
17,uTBHwon/Z8CXCsjF8QaVsUpsdxQ=,36,0,urn:li:organization:11841037,eh,2022-08-08 10:42:19.049000+00:00
18,wkcAYqHXCQdHOwupRpDcvUhglGg=,3,0,urn:li:organizationBrand:69569872,gh,2022-08-08 10:42:37.938000+00:00
19,obAzgFtwbbGyk6ZfoPE9cxhmco8=,8,0,urn:li:organization:11841037,cm,2022-08-08 10:42:19.055000+00:00
20,cu42MIgi+NFX9JjnIdsoVErkAgU=,1,0,urn:li:organization:11841037,ua,2022-08-08 10:42:19.074000+00:00
21,R4G/wOtqKoN/25w/tnlh8gUo4KM=,1335,0,urn:li:organization:11841037,ma,2022-08-08 10:42:19.047000+00:00
22,ebL344rXj8OAN+UX6JbjT3LKPMc=,1,0,urn:li:organization:69569872,dz,2022-08-08 10:42:06.096000+00:00
23,uqZakzIHV4SZ4TywPMUGuvAIz3Q=,2,0,urn:li:organization:69569872,ml,2022-08-08 10:42:06.087000+00:00
24,lwPgdoQwbg5nOFA6Sm6A/YiOymw=,10,0,urn:li:organization:11841037,gn,2022-08-08 10:42:19.052000+00:00
25,ICRhvUlSwjUzZz4vvLn9ZFxtwaY=,2,0,urn:li:organization:69569872,ng,2022-08-08 10:42:06.086000+00:00
26,4UxJiGwflFr4dgkPw2ZbQnIEGiY=,1,0,urn:li:organization:11841037,bd,2022-08-08 10:42:19.079000+00:00
27,C3McJrkVEtk476HYIXH8a2x0L78=,2,0,urn:li:organization:11841037,ga,2022-08-08 10:42:19.069000+00:00
28,XJ6I7B1CQlbYgz5UuNgktGAEHdM=,1,0,urn:li:organization:69569872,ch,2022-08-08 10:42:06.092000+00:00
29,CW0qIqZHaw0Mbwzoj8Z+zgaIxP0=,2,0,urn:li:organization:11841037,gh,2022-08-08 10:42:19.069000+00:00
30,JQQf+2tn2MULzm0bNcIkcoB062U=,3,0,urn:li:organization:69569872,gh,2022-08-08 10:42:06.084000+00:00
31,/Kpnocxo+N1sT4OHIUBGxMMao6o=,6,0,urn:li:organization:11841037,tr,2022-08-08 10:42:19.057000+00:00
32,hwyyzhQZspVLOfLOc9DndK3rSsU=,1,0,urn:li:organization:11841037,tg,2022-08-08 10:42:19.084000+00:00
33,Qllyxo9jiLlXt9oXK3BoF1X3Kco=,4,0,urn:li:organization:11841037,br,2022-08-08 10:42:19.062000+00:00
34,RKqpTSA/2F9t1++2Ynh8Y6IKKiA=,1,0,urn:li:organization:69569872,br,2022-08-08 10:42:06.094000+00:00
35,7LyUw0YR5YQLorKjJzOO1VXcxvY=,14,0,urn:li:organization:69569872,ci,2022-08-08 10:42:06.079000+00:00
36,UHHECk2ftjpa7z+btPrSHF0UKJI=,40,0,urn:li:organization:11841037,tn,2022-08-08 10:42:19.049000+00:00
37,bu/mUgXdxpceaO/heQDhagx1brU=,2,0,urn:li:organization:11841037,mg,2022-08-08 10:42:19.064000+00:00
38,OMPRgZYqFfs8m/mC/iF30qIWmls=,2,0,urn:li:organization:11841037,it,2022-08-08 10:42:19.067000+00:00
39,8JbW5OX7GnnZv+UlQ9XizQXmAAU=,7,0,urn:li:organization:69569872,sn,2022-08-08 10:42:06.082000+00:00
40,Sx70Tjjs6RxsQQys7KvNrYyRxyI=,2,0,urn:li:organization:11841037,us,2022-08-08 10:42:19.065000+00:00
41,ykX61yBpb2bRmol8JfJT/SlYMDc=,1,0,urn:li:organization:11841037,sd,2022-08-08 10:42:19.080000+00:00
42,4P9xGVvyi4P8zgvDlThkXI8MN2E=,5,0,urn:li:organization:69569872,tn,2022-08-08 10:42:06.083000+00:00
43,bTg/i0ldTnyzH20lF9XS8ywRV7k=,7,0,urn:li:organization:11841037,oo,2022-08-08 10:42:19.056000+00:00
44,qEQkKWcOlIUQQGJizXa+RDrHHQI=,1,0,urn:li:organizationBrand:69569872,cg,2022-08-08 10:42:37.941000+00:00
45,sF6zSfqtswHCnAVsQ1d8P/pcFfI=,6,0,urn:li:organization:11841037,cg,2022-08-08 10:42:19.057000+00:00
46,hzFkN47RbkCxBRbym/wK0uy02/k=,5,0,urn:li:organization:11841037,es,2022-08-08 10:42:19.059000+00:00
47,gTuIZRrKvEEiz7y3mu1N4tOhXGU=,1,0,urn:li:organization:69569872,oo,2022-08-08 10:42:06.088000+00:00
48,rglhfzGXJXh9rDALFiig1QT0/TM=,2,0,urn:li:organization:11841037,th,2022-08-08 10:42:19.070000+00:00
49,7V7Dzz8FX6wmJbcWxJisb4JwkiQ=,1,0,urn:li:organization:11841037,dj,2022-08-08 10:42:19.072000+00:00
50,Wi2BhtaVAzmm+LC1ZPz3ncGtJzE=,2,0,urn:li:organization:11841037,za,2022-08-08 10:42:19.066000+00:00
51,Kxd0BJ/I+VjXuYEAu07OIKOxExo=,1,0,urn:li:organization:11841037,cd,2022-08-08 10:42:19.082000+00:00
52,cViT0vapU+hkyzwQMHnoJw8bOH0=,21,0,urn:li:organization:11841037,ci,2022-08-08 10:42:19.051000+00:00
53,qJ5XCKvvSOkQlVhX8qe4LsYmwRI=,1,0,urn:li:organization:11841037,co,2022-08-08 10:42:19.083000+00:00
54,48YeI1bjln7naqp6a/9E7huj1hE=,9,0,urn:li:organizationBrand:69569872,ma,2022-08-08 10:42:37.937000+00:00
55,MRA/AmnhFG+Dpng03VRa1aQd4qY=,35,0,urn:li:organization:11841037,sn,2022-08-08 10:42:19.050000+00:00
56,G1q/Nt5RmBqhUcaE9cJNDSjWM5w=,9,0,urn:li:organization:69569872,ma,2022-08-08 10:42:06.080000+00:00
57,MYRhyOll+Whyc/oTdC8sSH0TkK0=,1,0,urn:li:organization:11841037,lu,2022-08-08 10:42:19.073000+00:00
58,OkxvAej8sPepJ8dazdg7nZWGQOg=,5,0,urn:li:organization:11841037,ch,2022-08-08 10:42:19.060000+00:00
59,zUdwhaLJ9qv1fa71LQ3yix4tWgM=,1,0,urn:li:organization:11841037,n/a,2022-08-08 10:42:19.071000+00:00
60,W2xbYvJwMCV1wpwbdX64BzoG3FU=,1,0,urn:li:organization:11841037,ao,2022-08-08 10:42:19.076000+00:00
61,ROtuHNlIoWKCCE+Tt/1D8c62HJw=,3,0,urn:li:organizationBrand:69569872,cm,2022-08-08 10:42:37.939000+00:00
62,MkTRLmuQ5dwboxc6qplyEUCHbe4=,1,0,urn:li:organization:11841037,lb,2022-08-08 10:42:19.084000+00:00
63,AA/ZfvAjpWdg9ftDGX6QYKbOFrg=,2,0,urn:li:organization:11841037,il,2022-08-08 10:42:19.065000+00:00
64,Iqg7ez/1/Anj3OPXTBwjDzqBkEg=,1,0,urn:li:organization:11841037,do,2022-08-08 10:42:19.073000+00:00
65,M/IPchLQ+O/A49JVS5EwogJcH+E=,1,0,urn:li:organization:11841037,ve,2022-08-08 10:42:19.076000+00:00
66,0mmJrfK+FO2RPZbDG4D/FS/k7kM=,3,0,urn:li:organization:11841037,no,2022-08-08 10:42:19.063000+00:00
67,C/qVD5m7N1Emis3rDsDS9S1rD+Y=,3,0,urn:li:organization:11841037,eg,2022-08-08 10:42:19.062000+00:00
68,pKUZt3OqlB9K5Kq0h8GW1S4zv+E=,1,0,urn:li:organization:78306774,de,2022-08-08 10:42:26.194000+00:00
69,bI950q09D6ME6wARafXzEui7V10=,1,0,urn:li:organization:69569872,sa,2022-08-08 10:42:06.093000+00:00
70,feia0JvVHdO1X3GxuCAdoC3h264=,5,0,urn:li:organization:11841037,be,2022-08-08 10:42:19.059000+00:00
71,wPT1bWL41Vq70n182MsDARwYbU0=,1,0,urn:li:organization:11841037,gr,2022-08-08 10:42:19.082000+00:00
72,5UWbSr+VZdoqPnUPLmuXRgHorR4=,14,0,urn:li:organizationBrand:69569872,ci,2022-08-08 10:42:37.936000+00:00
73,ud8BLUbryc/IHQ60yO+ZhDWBpMg=,2,0,urn:li:organizationBrand:69569872,ml,2022-08-08 10:42:37.940000+00:00
74,Wzx11/XSjhCGDI3/4ciCBGt6Ze0=,2,0,urn:li:organization:11841037,mr,2022-08-08 10:42:19.066000+00:00
75,MsM67OWBZvUROq7NN8nkrXaTh90=,3,0,urn:li:organization:78306774,fr,2022-08-08 10:42:26.194000+00:00
76,8PbR3oO5r8TvPJL4KbkFEDQNlf0=,1,0,urn:li:organizationBrand:69569872,ne,2022-08-08 10:42:37.944000+00:00
77,p4ifTtOA9Kw1EMrCi+cPZ00bJTw=,2,0,urn:li:organizationBrand:69569872,ng,2022-08-08 10:42:37.939000+00:00
78,YamxqtOmJmUwwY8bJBaqQEeqCS0=,1,0,urn:li:organization:11841037,mc,2022-08-08 10:42:19.075000+00:00
79,X2dD36NeY0s1P0RfP5sOjgEE4Ao=,1,0,urn:li:organization:11841037,pk,2022-08-08 10:42:19.085000+00:00
80,XBttey2DvrRIL1MU8ItS04AViAo=,9,0,urn:li:organization:11841037,ca,2022-08-08 10:42:19.054000+00:00
81,fSw6Q8Ga4GBqjT58PTN9D1Ul6r8=,1,0,urn:li:organizationBrand:69569872,sa,2022-08-08 10:42:37.942000+00:00
82,LrWkAvATliB7DREfdv+HdvG0GYk=,2,0,urn:li:organization:11841037,vn,2022-08-08 10:42:19.068000+00:00
83,pZjLcbZ/by6CjVw8dZvCJQiKkcg=,1,0,urn:li:organizationBrand:69569872,se,2022-08-08 10:42:37.943000+00:00
84,Xro1UIBlhEUTOpu7/A3IuQat77o=,3,0,urn:li:organization:78306774,eh,2022-08-08 10:42:26.193000+00:00
85,V4mCxMge47NUfGFmWFO66HmnlzE=,1,0,urn:li:organization:11841037,si,2022-08-08 10:42:19.080000+00:00
86,1If3rsYYy0C2tQ1KCCdhQhqtHRQ=,1,0,urn:li:organization:11841037,sk,2022-08-08 10:42:19.081000+00:00
87,JiTt8U0RIufJleQ3zn4VrJY9tMY=,1,0,urn:li:organization:11841037,az,2022-08-08 10:42:19.077000+00:00
88,r8CaMTO4bgeB9xyAdVyLAAO1F1s=,3,0,urn:li:organization:69569872,cm,2022-08-08 10:42:06.085000+00:00
89,EsyLJZbRxUw1DFv4+zK/6qPL/5o=,1,0,urn:li:organizationBrand:69569872,oo,2022-08-08 10:42:37.940000+00:00
90,3o6XJtvjm6OFVOofQDS2dyDVxqk=,1,0,urn:li:organization:69569872,mr,2022-08-08 10:42:06.091000+00:00
91,eoFidJ9ZzJfaYeXNJHQGW0eRQfA=,158,0,urn:li:organization:11841037,fr,2022-08-08 10:42:19.048000+00:00
92,d2blAkuPu+uFB0eK4WK6QTdBcqo=,1,0,urn:li:organizationBrand:69569872,dz,2022-08-08 10:42:37.944000+00:00
93,9dRjLl+qFdL6/oedVSS5AaMWFgk=,4,0,urn:li:organization:11841037,ae,2022-08-08 10:42:19.060000+00:00
94,lZ2rcu6uT9eap6Mi4otEiIeVfoQ=,1,0,urn:li:organization:11841037,nl,2022-08-08 10:42:19.078000+00:00
95,XIR529RtF874fW0mNqV+fnaoIQ8=,1,0,urn:li:organizationBrand:69569872,us,2022-08-08 10:42:37.945000+00:00
96,RsRThJvx0VQ4Q3MVHlezjickrhk=,1,0,urn:li:organization:69569872,cd,2022-08-08 10:42:06.089000+00:00
97,gmaUZzbcMS4pMud3QFOzrqgoHr0=,1,0,urn:li:organizationBrand:69569872,cd,2022-08-08 10:42:37.940000+00:00
98,UsBBxnplTbWsu1A8ysa0GAobgkE=,1,0,urn:li:organization:78306774,cg,2022-08-08 10:42:26.195000+00:00
99,mmNa4PrLc/Mfk2DMzgMTB2bXPHY=,1,0,urn:li:organization:69569872,us,2022-08-08 10:42:06.098000+00:00
100,Y0uLKg8T8vtBmRTcU67xHZIMEEk=,2,0,urn:li:organization:11841037,cn,2022-08-08 10:42:19.070000+00:00
101,JOXuwyvG8asyMy4QF82M4mM14QQ=,33,0,urn:li:organization:78306774,ma,2022-08-08 10:42:26.193000+00:00
102,9quXIDmZJymz76gR6+MZn/KSbF4=,9,0,urn:li:organization:11841037,dz,2022-08-08 10:42:19.053000+00:00
103,64xGqq69aIwGPyrhtcDscBIP6GE=,1,0,urn:li:organization:11841037,qa,2022-08-08 10:42:19.075000+00:00
104,Myc3rE6PL0U90sgU5k7see0x6C4=,7,0,urn:li:organizationBrand:69569872,sn,2022-08-08 10:42:37.937000+00:00
105,5ez8WGzr+vt/gTJYTGkBSsm8to0=,5,0,urn:li:organization:11841037,de,2022-08-08 10:42:19.058000+00:00
106,LX7bwBpRxtfuklVIGlM3l8coJwA=,4,0,urn:li:organization:11841037,fi,2022-08-08 10:42:19.061000+00:00
107,gi+QZQ/rteB7RS8rV7x6LLqzLqc=,1,0,urn:li:organization:78306774,ua,2022-08-08 10:42:26.196000+00:00
108,yVF/lyHWcg4Vaqkq0leqbxSwMHg=,3,0,urn:li:organization:11841037,in,2022-08-08 10:42:19.063000+00:00
109,IyYPqS5dPd+V3+C2YghwgNqySF4=,1,0,urn:li:organization:11841037,re,2022-08-08 10:42:19.077000+00:00
